trial_number,initial_temp,cooling_rate,iterations_per_temp,construction_iterations,instance,seed,obj_val,gap_pct
2,185.033996342496,0.998981584177823,11,36,I,11,735.056,8.096
2,185.033996342496,0.998981584177823,11,36,I,22,733.609,7.884
2,185.033996342496,0.998981584177823,11,36,I,33,735.056,8.096
2,185.033996342496,0.998981584177823,11,36,K,11,915.509,6.952
2,185.033996342496,0.998981584177823,11,36,K,22,919.92,7.467
2,185.033996342496,0.998981584177823,11,36,K,33,925.724,8.145
3,34.89537345126753,0.9073917519659914,103,68,D,11,1032.237,9.347
3,34.89537345126753,0.9073917519659914,103,68,D,22,992.392,5.126
3,34.89537345126753,0.9073917519659914,103,68,D,33,989.073,4.775
3,34.89537345126753,0.9073917519659914,103,68,G,11,3521.821,10.819
3,34.89537345126753,0.9073917519659914,103,68,G,22,3516.675,10.657
3,34.89537345126753,0.9073917519659914,103,68,G,33,3529.572,11.063
3,34.89537345126753,0.9073917519659914,103,68,I,11,729.457,7.273
3,34.89537345126753,0.9073917519659914,103,68,I,22,735.056,8.096
3,34.89537345126753,0.9073917519659914,103,68,I,33,735.056,8.096
3,34.89537345126753,0.9073917519659914,103,68,K,11,937.304,9.498
3,34.89537345126753,0.9073917519659914,103,68,K,22,931.974,8.875
3,34.89537345126753,0.9073917519659914,103,68,K,33,936.69,9.426
4,125.82596675251891,0.9350789534212882,35,24,D,11,1006.19,6.588
4,125.82596675251891,0.9350789534212882,35,24,D,22,1006.19,6.588
4,125.82596675251891,0.9350789534212882,35,24,D,33,1024.26,8.502
4,125.82596675251891,0.9350789534212882,35,24,G,11,3388.584,6.626
4,125.82596675251891,0.9350789534212882,35,24,G,22,3438.401,8.194
4,125.82596675251891,0.9350789534212882,35,24,G,33,3387.099,6.58
4,125.82596675251891,0.9350789534212882,35,24,I,11,729.586,7.292
4,125.82596675251891,0.9350789534212882,35,24,I,22,733.609,7.884
4,125.82596675251891,0.9350789534212882,35,24,I,33,735.056,8.096
4,125.82596675251891,0.9350789534212882,35,24,K,11,905.615,5.796
4,125.82596675251891,0.9350789534212882,35,24,K,22,919.92,7.467
4,125.82596675251891,0.9350789534212882,35,24,K,33,924.668,8.022
5,25.576459304612076,0.9633291039694195,21,48,D,11,1006.19,6.588
5,25.576459304612076,0.9633291039694195,21,48,D,22,992.392,5.126
5,25.576459304612076,0.9633291039694195,21,48,D,33,989.073,4.775
5,25.576459304612076,0.9633291039694195,21,48,G,11,3407.444,7.22
5,25.576459304612076,0.9633291039694195,21,48,G,22,3357.659,5.653
5,25.576459304612076,0.9633291039694195,21,48,G,33,3386.043,6.546
5,25.576459304612076,0.9633291039694195,21,48,I,11,735.056,8.096
5,25.576459304612076,0.9633291039694195,21,48,I,22,735.056,8.096
5,25.576459304612076,0.9633291039694195,21,48,I,33,735.056,8.096
5,25.576459304612076,0.9633291039694195,21,48,K,11,928.256,8.441
5,25.576459304612076,0.9633291039694195,21,48,K,22,919.92,7.467
5,25.576459304612076,0.9633291039694195,21,48,K,33,926.23,8.204
6,25.721353630550453,0.9256989988470059,41,44,D,11,1006.19,6.588
6,25.721353630550453,0.9256989988470059,41,44,D,22,992.392,5.126
6,25.721353630550453,0.9256989988470059,41,44,D,33,989.073,4.775
6,25.721353630550453,0.9256989988470059,41,44,G,11,3391.472,6.717
6,25.721353630550453,0.9256989988470059,41,44,G,22,3357.659,5.653
6,25.721353630550453,0.9256989988470059,41,44,G,33,3386.043,6.546
6,25.721353630550453,0.9256989988470059,41,44,I,11,735.056,8.096
6,25.721353630550453,0.9256989988470059,41,44,I,22,733.609,7.884
