setting,instance,seed,operator,proposed,returned_candidate,accepted,improving,new_global_best,candidate_rate,accept_rate,improve_rate,avg_accepted_delta
pair_relocate_best_remove_reinsert_three,F,22,remove_reinsert_three,57,57,57,19,2,1.0,1.0,0.3333333333333333,-2.2538400022672667
pair_relocate_best_remove_reinsert_three,F,33,pair_relocate_best,43,43,43,22,1,1.0,1.0,0.5116279069767442,-0.6498885060896232
pair_relocate_best_remove_reinsert_three,F,33,remove_reinsert_three,32,32,32,4,1,1.0,1.0,0.125,0.9281790470555435
pair_relocate_best_remove_reinsert_three,K,11,pair_relocate_best,7,7,7,4,1,1.0,1.0,0.5714285714285714,-0.30452659965174333
pair_relocate_best_remove_reinsert_three,K,11,remove_reinsert_three,1,1,1,0,0,1.0,1.0,0.0,0.0
pair_relocate_best_remove_reinsert_three,K,22,pair_relocate_best,4,4,4,3,3,1.0,1.0,0.75,-3.851197073989624
pair_relocate_best_remove_reinsert_three,K,22,remove_reinsert_three,7,7,7,2,2,1.0,1.0,0.2857142857142857,-1.8257008833198987
pair_relocate_best_remove_reinsert_three,K,33,pair_relocate_best,5,5,5,3,2,1.0,1.0,0.6,-3.615229696868346
pair_relocate_best_remove_reinsert_three,K,33,remove_reinsert_three,7,7,7,2,2,1.0,1.0,0.2857142857142857,-2.156124029960194
relocate_best_pair_relocate_best_remove_reinsert_three,D,11,relocate_best,12,12,12,6,0,1.0,1.0,0.5,1.0798295235883206
relocate_best_pair_relocate_best_remove_reinsert_three,D,11,pair_relocate_best,23,23,22,13,4,1.0,0.9565217391304348,0.5652173913043478,-2.898348147183609
relocate_best_pair_relocate_best_remove_reinsert_three,D,11,remove_reinsert_three,8,8,8,1,0,1.0,1.0,0.125,0.9567302692365871
relocate_best_pair_relocate_best_remove_reinsert_three,D,22,relocate_best,22,22,22,13,1,1.0,1.0,0.5909090909090909,-0.9296681293413578
relocate_best_pair_relocate_best_remove_reinsert_three,D,22,pair_relocate_best,28,28,27,11,2,1.0,0.9642857142857143,0.39285714285714285,2.491075572295893
relocate_best_pair_relocate_best_remove_reinsert_three,D,22,remove_reinsert_three,16,16,16,6,1,1.0,1.0,0.375,-2.910245723322973
relocate_best_pair_relocate_best_remove_reinsert_three,D,33,relocate_best,11,11,11,6,1,1.0,1.0,0.5454545454545454,-3.7076545164158934
relocate_best_pair_relocate_best_remove_reinsert_three,D,33,pair_relocate_best,17,17,16,8,3,1.0,0.9411764705882353,0.47058823529411764,0.29363598317523554
relocate_best_pair_relocate_best_remove_reinsert_three,D,33,remove_reinsert_three,22,22,22,4,1,1.0,1.0,0.18181818181818182,-0.7487064936897965
relocate_best_pair_relocate_best_remove_reinsert_three,G,11,relocate_best,2,2,2,1,1,1.0,1.0,0.5,-3.6077953505337064
relocate_best_pair_relocate_best_remove_reinsert_three,G,11,pair_relocate_best,5,5,5,4,4,1.0,1.0,0.8,-13.671021340123389
relocate_best_pair_relocate_best_remove_reinsert_three,G,11,remove_reinsert_three,3,3,3,2,1,1.0,1.0,0.6666666666666666,-17.591535095524552
relocate_best_pair_relocate_best_remove_reinsert_three,G,22,relocate_best,3,3,3,2,1,1.0,1.0,0.6666666666666666,-2.050088333759959
relocate_best_pair_relocate_best_remove_reinsert_three,G,22,pair_relocate_best,3,3,3,2,1,1.0,1.0,0.6666666666666666,-10.475639242968404
relocate_best_pair_relocate_best_remove_reinsert_three,G,22,remove_reinsert_three,4,4,4,1,1,1.0,1.0,0.25,-29.396813046354396
relocate_best_pair_relocate_best_remove_reinsert_three,G,33,relocate_best,4,4,4,3,3,1.0,1.0,0.75,-12.049090310963948
relocate_best_pair_relocate_best_remove_reinsert_three,G,33,pair_relocate_best,5,5,5,2,1,1.0,1.0,0.4,-0.6554087015954793
relocate_best_pair_relocate_best_remove_reinsert_three,G,33,remove_reinsert_three,1,1,1,1,1,1.0,1.0,1.0,-19.821003437211402
relocate_best_pair_relocate_best_remove_reinsert_three,F,11,relocate_best,28,28,28,18,1,1.0,1.0,0.6428571428571429,-4.634912119530152
relocate_best_pair_relocate_best_remove_reinsert_three,F,11,pair_relocate_best,34,34,33,11,1,1.0,0.9705882352941176,0.3235294117647059,3.764151546213887
relocate_best_pair_relocate_best_remove_reinsert_three,F,11,remove_reinsert_three,37,37,37,15,0,1.0,1.0,0.40540540540540543,0.048103009980582714
relocate_best_pair_relocate_best_remove_reinsert_three,F,22,relocate_best,52,52,52,37,0,1.0,1.0,0.7115384615384616,-4.267196085229268
relocate_best_pair_relocate_best_remove_reinsert_three,F,22,pair_relocate_best,47,47,47,14,0,1.0,1.0,0.2978723404255319,6.743814828572417
relocate_best_pair_relocate_best_remove_reinsert_three,F,22,remove_reinsert_three,49,49,49,17,1,1.0,1.0,0.3469387755102041,-2.245969852408748
relocate_best_pair_relocate_best_remove_reinsert_three,F,33,relocate_best,39,39,39,25,0,1.0,1.0,0.6410256410256411,-2.90107428885192
relocate_best_pair_relocate_best_remove_reinsert_three,F,33,pair_relocate_best,53,53,52,19,1,1.0,0.9811320754716981,0.3584905660377358,4.2353280740436
relocate_best_pair_relocate_best_remove_reinsert_three,F,33,remove_reinsert_three,38,38,38,17,0,1.0,1.0,0.4473684210526316,-2.328803630483519
relocate_best_pair_relocate_best_remove_reinsert_three,K,11,relocate_best,3,3,3,2,1,1.0,1.0,0.6666666666666666,-0.4619251369962285
relocate_best_pair_relocate_best_remove_reinsert_three,K,11,pair_relocate_best,9,9,9,4,2,1.0,1.0,0.4444444444444444,0.5587748104842881
relocate_best_pair_relocate_best_remove_reinsert_three,K,11,remove_reinsert_three,3,3,3,1,0,1.0,1.0,0.3333333333333333,-1.0487299626803406
relocate_best_pair_relocate_best_remove_reinsert_three,K,22,relocate_best,9,9,9,6,2,1.0,1.0,0.6666666666666666,-1.2004276256301916
relocate_best_pair_relocate_best_remove_reinsert_three,K,22,pair_relocate_best,4,4,4,1,1,1.0,1.0,0.25,1.3764945108359257
relocate_best_pair_relocate_best_remove_reinsert_three,K,22,remove_reinsert_three,5,5,5,2,2,1.0,1.0,0.4,-6.565668272565108
relocate_best_pair_relocate_best_remove_reinsert_three,K,33,relocate_best,5,5,5,2,0,1.0,1.0,0.4,0.43807489421847096
relocate_best_pair_relocate_best_remove_reinsert_three,K,33,pair_relocate_best,6,6,6,2,1,1.0,1.0,0.3333333333333333,1.2593308012601103
relocate_best_pair_relocate_best_remove_reinsert_three,K,33,remove_reinsert_three,7,7,7,4,2,1.0,1.0,0.5714285714285714,-4.058415890916763
