setting,mean_obj_val,mean_gap_pct,std_gap_pct,runs
without_swap_restricted,1526.3039285714287,6.6143214285714285,3.5278462851115924,28
without_ejection_chain_light,1524.2757142857142,6.623142857142858,3.5258423287186464,28
without_remove_reinsert_two,1526.2929285714285,6.715392857142858,3.4838494177953527,28
without_swap_two_one,1525.738607142857,6.746785714285714,3.3392369982016445,28
all,1527.2922857142858,6.76475,3.5379463348839137,28
without_relocate_best,1529.4205357142857,6.814285714285715,3.6356722834134754,28
without_remove_reinsert_three,1531.5534642857144,6.89225,3.4733587184506347,28
without_pair_relocate_best,1530.4304285714284,6.997107142857144,3.6141115637875165,28
