setting,instance,seed,obj_val,gap_pct
without_ejection_chain_light,K,22,936.34,9.385
without_ejection_chain_light,K,33,940.81,9.908
without_ejection_chain_light,K,44,939.207,9.72
without_ejection_chain_light,K,55,943.537,10.226
without_ejection_chain_light,K,66,921.691,7.674
without_ejection_chain_light,K,77,961.463,12.32
without_pair_relocate_best,D,11,1023.603,8.432
without_pair_relocate_best,D,22,1006.798,6.652
without_pair_relocate_best,D,33,1028.052,8.904
without_pair_relocate_best,D,44,1010.95,7.092
without_pair_relocate_best,D,55,992.334,5.12
without_pair_relocate_best,D,66,1040.783,10.252
without_pair_relocate_best,D,77,1006.132,6.582
without_pair_relocate_best,G,11,3464.778,9.024
without_pair_relocate_best,G,22,3385.312,6.523
without_pair_relocate_best,G,33,3476.743,9.4
without_pair_relocate_best,G,44,3426.797,7.829
without_pair_relocate_best,G,55,3387.775,6.601
without_pair_relocate_best,G,66,3445.104,8.405
without_pair_relocate_best,G,77,3534.988,11.233
without_pair_relocate_best,F,11,717.39,1.902
without_pair_relocate_best,F,22,717.39,1.902
without_pair_relocate_best,F,33,714.636,1.511
without_pair_relocate_best,F,44,713.672,1.374
without_pair_relocate_best,F,55,709.891,0.837
without_pair_relocate_best,F,66,714.636,1.511
without_pair_relocate_best,F,77,714.636,1.511
without_pair_relocate_best,K,11,947.562,10.696
without_pair_relocate_best,K,22,939.301,9.731
without_pair_relocate_best,K,33,948.805,10.842
without_pair_relocate_best,K,44,939.207,9.72
without_pair_relocate_best,K,55,943.537,10.226
without_pair_relocate_best,K,66,939.777,9.787
without_pair_relocate_best,K,77,961.463,12.32
without_swap_two_one,D,11,1023.603,8.432
without_swap_two_one,D,22,1004.862,6.447
without_swap_two_one,D,33,1031.552,9.275
without_swap_two_one,D,44,1005.333,6.497
without_swap_two_one,D,55,992.334,5.12
without_swap_two_one,D,66,1010.95,7.092
without_swap_two_one,D,77,1011.575,7.158
without_swap_two_one,G,11,3464.778,9.024
without_swap_two_one,G,22,3385.312,6.523
without_swap_two_one,G,33,3476.743,9.4
without_swap_two_one,G,44,3426.797,7.829
without_swap_two_one,G,55,3387.775,6.601
without_swap_two_one,G,66,3445.104,8.405
without_swap_two_one,G,77,3442.515,8.323
without_swap_two_one,F,11,713.609,1.365
without_swap_two_one,F,22,717.39,1.902
without_swap_two_one,F,33,717.39,1.902
without_swap_two_one,F,44,717.39,1.902
without_swap_two_one,F,55,714.636,1.511
without_swap_two_one,F,66,713.609,1.365
without_swap_two_one,F,77,713.609,1.365
without_swap_two_one,K,11,947.562,10.696
without_swap_two_one,K,22,939.301,9.731
without_swap_two_one,K,33,948.805,10.842
without_swap_two_one,K,44,939.207,9.72
without_swap_two_one,K,55,943.537,10.226
without_swap_two_one,K,66,939.777,9.787
without_swap_two_one,K,77,945.626,10.47
without_remove_reinsert_three,D,11,1023.603,8.432
without_remove_reinsert_three,D,22,992.334,5.12
without_remove_reinsert_three,D,33,1031.552,9.275
without_remove_reinsert_three,D,44,1010.95,7.092
without_remove_reinsert_three,D,55,992.334,5.12
without_remove_reinsert_three,D,66,1010.95,7.092
without_remove_reinsert_three,D,77,1006.19,6.588
without_remove_reinsert_three,G,11,3464.778,9.024
without_remove_reinsert_three,G,22,3506.367,10.333
without_remove_reinsert_three,G,33,3476.743,9.4
without_remove_reinsert_three,G,44,3426.797,7.829
without_remove_reinsert_three,G,55,3387.775,6.601
without_remove_reinsert_three,G,66,3452.322,8.632
without_remove_reinsert_three,G,77,3492.405,9.893
without_remove_reinsert_three,F,11,717.39,1.902
without_remove_reinsert_three,F,22,717.39,1.902
without_remove_reinsert_three,F,33,717.39,1.902
without_remove_reinsert_three,F,44,714.636,1.511
without_remove_reinsert_three,F,55,718.417,2.048
without_remove_reinsert_three,F,66,709.891,0.837
without_remove_reinsert_three,F,77,717.39,1.902
without_remove_reinsert_three,K,11,947.562,10.696
without_remove_reinsert_three,K,22,959.225,12.059
without_remove_reinsert_three,K,33,948.805,10.842
without_remove_reinsert_three,K,44,925.854,8.161
without_remove_reinsert_three,K,55,934.668,9.19
without_remove_reinsert_three,K,66,924.698,8.025
without_remove_reinsert_three,K,77,955.081,11.575
